Episode,Total Step,Total Reward
988,988000,6231.960802378979
989,989000,6132.517565651027
990,990000,6049.785467660253
991,991000,6268.6310276338145
992,992000,6253.773733938447
993,993000,6183.685587268961
994,994000,6247.182312041294
995,995000,5964.424029259192
996,996000,6141.440891433346
997,997000,6026.409575868917
998,998000,6363.058221271065
999,999000,6020.391523797082
1000,1000000,6299.260673995699
